workout_id,workout_date,workout_type,distance,entry_date,entry_time
1,02/01/2015,Gym,1,05/12/2017,23:00:00
2,03/01/2015,Cycle,63,05/12/2017,23:00:00
3,03/01/2015,Yoga,1,05/12/2017,23:00:00
4,04/01/2015,Cycle,39,05/12/2017,23:00:00
5,04/01/2015,Yoga,1,05/12/2017,23:00:00
6,06/01/2015,Gym,1,05/12/2017,23:00:00
7,07/01/2015,Run,11.265408,05/12/2017,23:00:00
8,10/01/2015,Run,12,05/12/2017,23:00:00
9,11/01/2015,Run,5,05/12/2017,23:00:00
10,12/01/2015,Gym,1,05/12/2017,23:00:00
11,15/01/2015,Run,3,05/12/2017,23:00:00
12,17/01/2015,Cycle,40,05/12/2017,23:00:00
13,17/01/2015,Run,6.2,05/12/2017,23:00:00
14,18/01/2015,Gym,1,05/12/2017,23:00:00
15,18/01/2015,Yoga,1,05/12/2017,23:00:00
16,20/01/2015,Gym,1,05/12/2017,23:00:00
17,21/01/2015,Yoga,1,05/12/2017,23:00:00
18,22/01/2015,Run,11.265408,05/12/2017,23:00:00
19,24/01/2015,Gym,1,05/12/2017,23:00:00
20,24/01/2015,Run,11.265408,05/12/2017,23:00:00
21,25/01/2015,Hike,1,05/12/2017,23:00:00
22,25/01/2015,Run,6.4,05/12/2017,23:00:00
23,30/01/2015,Gym,1,05/12/2017,23:00:00
24,31/01/2015,Run,11.265408,05/12/2017,23:00:00
25,05/02/2015,Gym,1,05/12/2017,23:00:00
26,06/02/2015,Gym,1,05/12/2017,23:00:00
27,06/02/2015,Run,6.4,05/12/2017,23:00:00
28,07/02/2015,Yoga,1,05/12/2017,23:00:00
29,08/02/2015,Gym,1,05/12/2017,23:00:00
30,08/02/2015,Hike,1,05/12/2017,23:00:00
31,10/02/2015,Run,6.437376,05/12/2017,23:00:00
32,14/02/2015,Cycle,70,05/12/2017,23:00:00
33,14/02/2015,Gym,1,05/12/2017,23:00:00
34,15/02/2015,Cycle,70,05/12/2017,23:00:00
35,15/02/2015,Run,10,05/12/2017,23:00:00
36,19/02/2015,Run,6.437376,05/12/2017,23:00:00
37,20/02/2015,Gym,1,05/12/2017,23:00:00
38,21/02/2015,Cycle,100,05/12/2017,23:00:00
39,21/02/2015,Run,7,05/12/2017,23:00:00
40,22/02/2015,Gym,1,05/12/2017,23:00:00
41,25/02/2015,Cycle,100,05/12/2017,23:00:00
42,26/02/2015,Cycle,40,05/12/2017,23:00:00
43,27/02/2015,Cycle,80,05/12/2017,23:00:00
44,28/02/2015,Cycle,40,05/12/2017,23:00:00
45,04/03/2015,Run,3.2,05/12/2017,23:00:00
46,05/03/2015,Run,7.4,05/12/2017,23:00:00
47,11/03/2015,Run,6,05/12/2017,23:00:00
48,13/03/2015,Cycle,13,05/12/2017,23:00:00
49,13/03/2015,Gym,1,05/12/2017,23:00:00
50,14/03/2015,Yoga,1,05/12/2017,23:00:00
51,15/03/2015,Cycle,75,05/12/2017,23:00:00
52,21/03/2015,Run,7.4,05/12/2017,23:00:00
53,24/03/2015,Run,7.4,05/12/2017,23:00:00
54,25/03/2015,Run,6.4,05/12/2017,23:00:00
55,26/03/2015,Gym,1,05/12/2017,23:00:00
56,26/03/2015,Run,2,05/12/2017,23:00:00
